Source,Headline,Link
BBC,Attack Trump verdict or be exiled - a new test for Republicans,https://www.bbc.com/news/articles/ck77xpkr0x8o
BBC,'This is a bad day for America' - voters split on Trump verdict,https://www.bbc.com/news/articles/ce5511j7rylo
BBC,Attack Trump verdict or be exiled - a new test for Republicans,https://www.bbc.com/news/articles/ck77xpkr0x8o
BBC,'This is a bad day for America' - voters split on Trump verdict,https://www.bbc.com/news/articles/ce5511j7rylo
BBC,South Africa's ANC has to share power after election blow,https://www.bbc.com/news/articles/cyeek2xlgzzo
BBC,"No Gaza ceasefire until Israel war aims achieved, Netanyahu says",https://www.bbc.com/news/articles/c888p5p2zvxo
BBC,"Trump's White House bid goes on, lawyer tells BBC",https://www.bbc.com/news/articles/crggwzl6vq1o
BBC,Will using Western weapons on Russia help Ukraine change the war?,https://www.bbc.com/news/articles/cjll1r1el5wo
BBC,The World War Two army that didn't exist,https://www.bbc.com/culture/article/20240531-d-day-deception-operation-fortitude-the-world-war-two-army-that-didnt-exist
BBC,How India's ancient terracotta pots are helping fight extreme heat,https://www.bbc.com/future/article/20240530-how-ancient-knowledge-of-terracotta-is-cooling-modern-indian-buildings
BBC,"India's Modi could win third term, polls predict",https://www.bbc.com/news/articles/cgllg541xmxo
BBC,China spacecraft to try to land on Moon's far side,https://www.bbc.com/news/articles/cxeejp0y2pjo
BBC,King gives 100th birthday card to D-Day veteran,https://www.bbc.com/news/articles/cnllgzzgnreo
BBC,India MP arrested in sex-abuse case upon return to country,https://www.bbc.com/news/articles/clkkzx1zyejo
BBC,'Heartsick' Jennifer Lopez cancels US tour dates,https://www.bbc.com/news/articles/cxxx4nwdwnxo
BBC,China spacecraft to try to land on Moon's far side,https://www.bbc.com/news/articles/cxeejp0y2pjo
BBC,Philippine president warns China against 'acts of war',https://www.bbc.com/news/articles/c7223knz3ezo
BBC,Why India's T20 World Cup squad sends confusing signals,https://www.bbc.com/news/articles/cx99gj445wno
BBC,Heat kills at least 15 in India as temperatures near 50C,https://www.bbc.com/news/articles/czddy30ezd5o
BBC,King gives 100th birthday card to D-Day veteran,https://www.bbc.com/news/articles/cnllgzzgnreo
BBC,"Trump would run for president from jail, his lawyer says",https://www.bbc.com/news/videos/ce553gzpjmyo
BBC,Tornadoes and severe weather hit parts of Texas,https://www.bbc.com/news/videos/c4nnevdvkx3o
BBC,Mother was 'beloved' in White House - Michelle Obama,https://www.bbc.com/news/world-us-canada-69081946
BBC,Americans react to Trump's guilty conviction,https://www.bbc.com/news/videos/c2llq79k9k8o
BBC,Biden urges Israel to stand behind three-phase Gaza plan,https://www.bbc.com/news/videos/crggzx479r1o
BBC,Magic moment for five generations of same family,https://www.bbc.com/news/videos/c1ddg32lrp0o
BBC,'The death of Slim Shady': Controversial legacy of Eminem's peroxide-blond alter ego,https://www.bbc.com/news/articles/clee3445w0lo
BBC,The wild ceremonies of the Turkish 'meatball',https://www.bbc.com/travel/article/20240531-the-wild-ceremonies-surrounding-a-turkish-meatball
BBC,Hadid sisters donate $1m to Palestinian aid effort,https://www.bbc.com/news/articles/cj772xzl3xdo
BBC,"No Gaza ceasefire until Israel war aims achieved, Netanyahu says",https://www.bbc.com/news/articles/c888p5p2zvxo
BBC,Biden unveils Israeli proposal to end Gaza war ,https://www.bbc.com/news/articles/cw8860gn1nwo
BBC,Biden urges Israel to stand behind three-phase Gaza plan,https://www.bbc.com/news/videos/crggzx479r1o
BBC,Will using Western weapons on Russia help Ukraine change the war?,https://www.bbc.com/news/articles/cjll1r1el5wo
BBC,"We have no Plan B if Ukraine falls, says Estonia",https://www.bbc.com/news/articles/c722zxj0kyro
BBC,Anger in Moscow after Ukraine allowed to hit Russia with Western weapons,https://www.bbc.com/news/articles/ceqq2zn3zw6o
BBC,Biden allows Ukraine to hit some targets in Russia with US weapons,https://www.bbc.com/news/articles/cy770l9llnzo
BBC,"Trump's White House bid goes on, lawyer tells BBC",https://www.bbc.com/news/articles/crggwzl6vq1o
BBC,"Trump would run for president from jail, his lawyer says",https://www.bbc.com/news/videos/ce553gzpjmyo
BBC,'This is a bad day for America' - voters split on Trump verdict,https://www.bbc.com/news/articles/ce5511j7rylo
BBC,The struggles and scandals of Hunter Biden,https://www.bbc.com/news/world-us-canada-55805698
BBC,"India's Modi could win third term, polls predict",https://www.bbc.com/news/articles/cgllg541xmxo
BBC,North Korea floats more rubbish-filled balloons over South Korean border,https://www.bbc.com/news/articles/cz99vl36n0ro
BBC,Philippine president warns China against 'acts of war',https://www.bbc.com/news/articles/c7223knz3ezo
BBC,Why India's T20 World Cup squad sends confusing signals,https://www.bbc.com/news/articles/cx99gj445wno
BBC,Can this mineral help reduce anxiety?,https://www.bbc.com/reel/video/p0j0yff3/can-this-mineral-help-reduce-anxiety-
BBC,American Dream puts the world into World Cup,https://www.bbc.com/sport/cricket/articles/cv22vrlnlv0o
BBC,"ICC Men's T20 World Cup format, rules & past winners",https://www.bbc.com/sport/cricket/articles/cj7mmedrjryo
BBC,T20 World Cup: Group B preview including key batters & bowlers,https://www.bbc.com/sport/cricket/articles/c6pp51d9596o
BBC,Lyon 'surprised' by Anderson retirement,https://www.bbc.com/sport/cricket/articles/cy66qj93q0eo
BBC,Election poll tracker: How do the parties compare?,https://www.bbc.com/news/uk-politics-68079726
BBC,UK ambassador left post after 'pointing gun at staff',https://www.bbc.com/news/articles/crggz77zp7zo
BBC,King gives 100th birthday card to D-Day veteran,https://www.bbc.com/news/articles/cnllgzzgnreo
BBC,A very quick guide to the cabinet and what it does,https://www.bbc.com/news/uk-63385259
BBC,Hadid sisters donate $1m to Palestinian aid effort,https://www.bbc.com/news/articles/cj772xzl3xdo
BBC,"No Gaza ceasefire until Israel war aims achieved, Netanyahu says",https://www.bbc.com/news/articles/c888p5p2zvxo
BBC,Biden unveils Israeli proposal to end Gaza war ,https://www.bbc.com/news/articles/cw8860gn1nwo
BBC,Protester chains himself to goalposts at  Scotland v Israel match,https://www.bbc.com/news/articles/c0jjg284x83o
BBC,South Africa's ANC has to share power after election blow,https://www.bbc.com/news/articles/cyeek2xlgzzo
BBC,Nigeria acts over students told to leave UK,https://www.bbc.com/news/articles/cjllr00nxpwo
BBC,ANC facing worst result since end of apartheid,https://www.bbc.com/news/articles/cjll8nr6962o
BBC,Friends helped pay for private jet - Kenya leader,https://www.bbc.com/news/articles/cd112e8zwp1o
BBC,Ticketmaster confirms data hack which could affect 560m globally,https://www.bbc.com/news/articles/cw99ql0239wo
BBC,Santander staff and '30 million' customers hacked,https://www.bbc.com/news/articles/c6ppv06e3n8o
BBC,$60m collection of rare cars and sneakers going on auction,https://www.bbc.com/news/articles/c4nn2k81nvro
BBC,How UK's 'fastest' rollercoaster ground to halt within day of opening,https://www.bbc.com/news/articles/ckkknz9zpzgo
BBC,TikTok: Why young people have to delay 'adulting',https://www.bbc.com/news/articles/ckddrky4z5jo
BBC,TikTokers on why they have to delay ‘adulting’,https://www.bbc.com/news/videos/c9wwglpkpl1o
BBC,Santander staff and '30 million' customers hacked,https://www.bbc.com/news/articles/c6ppv06e3n8o
BBC,How India's ancient terracotta pots are helping fight extreme heat,https://www.bbc.com/future/article/20240530-how-ancient-knowledge-of-terracotta-is-cooling-modern-indian-buildings
BBC,The World War Two army that didn't exist,https://www.bbc.com/culture/article/20240531-d-day-deception-operation-fortitude-the-world-war-two-army-that-didnt-exist
BBC,'The death of Slim Shady': Controversial legacy of Eminem's peroxide-blond alter ego,https://www.bbc.com/news/articles/clee3445w0lo
BBC,Bridgerton actress says diversity key to success,https://www.bbc.com/news/articles/crgg2rlzv5vo
BBC,Jolie and Pitt's daughter Shiloh seeks name change,https://www.bbc.com/news/articles/cyjjymklnvmo
BBC,Man City want to tie down Haaland - Sunday's gossip,https://www.bbc.com/sport/football/articles/cq55qdrzeleo
BBC,Emotional Bellingham 'couldn't have dreamed it better',https://www.bbc.com/sport/football/articles/c977jlqz0g4o
BBC,Britain's Ball wins world title in thriller,https://www.bbc.com/sport/articles/cqllz552j4po
BBC,'See you tomorrow' - Mourinho set to be named Fenerbahce boss,https://www.bbc.com/sport/football/articles/c1een240ql1o
BBC,The mutant wildlife adapting to New York City,https://www.bbc.com/future/article/20240531-the-mutant-wildlife-adapting-to-new-york-city
